TimeToExpiration,Strike,CallMktPrice,PutMktPrice,TotalImplVar,logStrike,CallBidPrice,CallAskPrice,PutBidPrice,PutAskPrice
0.0465444191188046,4100,439.4,3.35,0.000909596067122005,-0.101160587245848,437.4,441.4,3.2,3.5
0.0465444191188046,4150,390,3.95,0.000909596067122005,-0.089039226713503,388.1,391.9,3.8,4.1
0.0465444191188046,4175,365.45,4.35,0.000909596067122005,-0.0830332026532913,363.5,367.4,4.2,4.5
0.0465444191188046,4200,341.1,4.95,0.000909596067122005,-0.0770630356667874,339.2,343,4.8,5.1
0.0465444191188046,4210,331.2,5.15,0.000909596067122005,-0.0746849132618199,329.3,333.1,5,5.3
0.0465444191188046,4220,321.55,5.45,0.000909596067122005,-0.0723124329081896,319.7,323.4,5.3,5.6
0.0465444191188046,4225,316.75,5.55,0.000909596067122005,-0.0711283001469728,314.9,318.6,5.4,5.7
0.0465444191188046,4230,311.85,5.75,0.000909596067122005,-0.0699455678979234,309.9,313.8,5.6,5.9
0.0465444191188046,4250,292.65,6.4,0.000909596067122005,-0.0652285780197845,290.8,294.5,6.2,6.6
0.0465444191188046,4260,282.9,6.8,0.000909596067122005,-0.062878400674831,281,284.8,6.6,7
0.0465444191188046,4270,273.45,7.2,0.000909596067122005,-0.0605337337155768,271.6,275.3,7,7.4
0.0465444191188046,4275,268.75,7.4,0.000909596067122005,-0.0593634585673864,266.9,270.6,7.2,7.6
0.0465444191188046,4280,263.85,7.65,0.000909596067122005,-0.0581945513624046,262,265.7,7.5,7.8
0.0465444191188046,4285,259.25,7.9,0.000909596067122005,-0.0570270089063669,257.4,261.1,7.7,8.1
0.0465444191188046,4290,254.35,8.2,0.000909596067122005,-0.0558608280161844,252.5,256.2,8,8.4
0.0465444191188046,4300,245,8.7,0.000909596067122005,-0.0535325382565933,243.2,246.8,8.5,8.9
0.0465444191188046,4310,235.75,9.3,0.000909596067122005,-0.0512096568404536,234,237.5,9.1,9.5
0.0465444191188046,4315,231.1,9.7,0.000909596067122005,-0.0500502364207187,229.3,232.9,9.5,9.9
0.0465444191188046,4320,226.35,10,0.000909596067122005,-0.0488921587000911,224.5,228.2,9.8,10.2
0.0465444191188046,4325,221.7,10.4,0.000909596067122005,-0.0477354205722674,219.9,223.5,10.2,10.6
0.0465444191188046,4330,217.15,10.75,0.000909596067122005,-0.0465800189417115,215.3,219,10.5,11
0.0465444191188046,4335,212.65,11.2,0.000909596067122005,-0.0454259507236048,210.9,214.4,11,11.4
0.0465444191188046,4340,208.1,11.6,0.000909596067122005,-0.0442732128437966,206.4,209.8,11.4,11.8
0.0465444191188046,4345,203.45,12.05,0.000909596067122005,-0.0431218022387547,201.7,205.2,11.8,12.3
0.0465444191188046,4350,198.95,12.5,0.000909596067122005,-0.0419717158555173,197.1,200.8,12.3,12.7
0.0465444191188046,4355,194.45,13,0.000909596067122005,-0.0408229506516439,192.7,196.2,12.8,13.2
0.0465444191188046,4365,185.45,14.05,0.000909596067122005,-0.0385293716645445,183.7,187.2,13.8,14.3
0.0465444191188046,4370,181.1,14.55,0.000909596067122005,-0.0373845518486112,179.4,182.8,14.3,14.8
0.0465444191188046,4375,176.6,15.15,0.000909596067122005,-0.0362410411465322,174.9,178.3,14.9,15.4
0.0465444191188046,4380,172.2,15.75,0.000909596067122005,-0.0350988365677552,170.5,173.9,15.5,16
0.0465444191188046,4385,168,16.4,0.000909596067122005,-0.0339579351319637,166.3,169.7,16.1,16.7
0.0465444191188046,4390,163.75,17.05,0.000909596067122005,-0.03281833386903,162.9,164.6,16.8,17.3
0.0465444191188046,4395,159.2,17.75,0.000909596067122005,-0.0316800298189697,157.5,160.9,17.5,18
0.0465444191188046,4400,154.95,18.45,0.000909596067122005,-0.0305430200318945,153.3,156.6,18.2,18.7
0.0465444191188046,4405,150.75,19.25,0.000909596067122005,-0.0294073015679672,149.1,152.4,19,19.5
0.0465444191188046,4410,146.6,20.05,0.000909596067122005,-0.0282728714973554,145,148.2,19.8,20.3
0.0465444191188046,4415,142.45,20.8,0.000909596067122005,-0.0271397269001867,140.8,144.1,20.5,21.1
0.0465444191188046,4420,138.25,21.65,0.000909596067122005,-0.0260078648665032,136.6,139.9,21.4,21.9
0.0465444191188046,4425,134.15,22.55,0.000909596067122005,-0.0248772824962172,132.5,135.8,22.3,22.8
0.0465444191188046,4430,130,23.5,0.000909596067122005,-0.0237479768990658,128.4,131.6,23.2,23.8
0.0465444191188046,4435,126.05,24.4,0.000909596067122005,-0.0226199451945672,124.5,127.6,24.1,24.7
0.0465444191188046,4440,122.05,25.4,0.000909596067122005,-0.0214931845119766,120.5,123.6,25.1,25.7
0.0465444191188046,4445,118,26.5,0.000909596067122005,-0.0203676919902422,116.4,119.6,26.2,26.8
0.0465444191188046,4450,114.2,27.55,0.000909596067122005,-0.0192434647779612,112.7,115.7,27.3,27.8
0.0465444191188046,4455,110.35,28.7,0.000909596067122005,-0.0181205000333374,108.8,111.9,28.4,29
0.0465444191188046,4460,106.45,29.8,0.000909596067122005,-0.0169987949241373,104.9,108,29.5,30.1
0.0465444191188046,4465,102.6,31.1,0.000909596067122005,-0.0158783466276477,101.1,104.1,30.8,31.4
0.0465444191188046,4470,98.95,32.3,0.000909596067122005,-0.0147591523306326,97.5,100.4,32,32.6
0.0465444191188046,4475,95.2,33.7,0.000909596067122005,-0.0136412092292913,93.7,96.7,33.4,34
0.0465444191188046,4480,91.65,35.05,0.000909596067122005,-0.0125245145292162,90.2,93.1,34.7,35.4
0.0465444191188046,4485,88.1,36.45,0.000909596067122005,-0.0114090654453506,86.7,89.5,36.1,36.8
0.0465444191188046,4490,84.45,37.95,0.000909596067122005,-0.0102948592019471,83,85.9,37.6,38.3
0.0465444191188046,4495,81.05,39.45,0.000909596067122005,-0.00918189303252642,79.6,82.5,39.1,39.8
0.0465444191188046,4500,77.8,41.05,0.000909596067122005,-0.00807016417983591,77,78.6,40.7,41.4
0.0465444191188046,4505,74.3,42.75,0.000909596067122005,-0.00695966989580872,73.8,74.8,42.4,43.1
0.0465444191188046,4510,71.05,44.45,0.000909596067122005,-0.00585040744152306,70.6,71.5,44.1,44.8
0.0465444191188046,4515,67.8,46.25,0.000909596067122005,-0.00474237408716127,67.3,68.3,45.9,46.6
0.0465444191188046,4520,64.75,48.05,0.000909596067122005,-0.00363556711197017,64.4,65.1,47.7,48.4
0.0465444191188046,4525,61.65,49.95,0.000909596067122005,-0.00252998380422052,61.3,62,49.6,50.3
0.0465444191188046,4530,58.65,51.95,0.000909596067122005,-0.00142562146116739,58.3,59,51.6,52.3
0.0465444191188046,4535,55.75,54,0.000909596067122005,-0.000322477389010093,55.4,56.1,53.6,54.4
0.0465444191188046,4540,52.85,56.1,0.000909596067122005,0.000779451097146514,52.5,53.2,55.7,56.5
0.0465444191188046,4545,50.05,58.3,0.000909596067122005,0.00188016667333208,49.7,50.4,57.9,58.7
0.0465444191188046,4550,47.25,60.6,0.000909596067122005,0.002979672006749,46.9,47.6,60.2,61
0.0465444191188046,4555,44.65,62.85,0.000909596067122005,0.00407796975581162,44.3,45,62.4,63.3
0.0465444191188046,4560,42.05,65.3,0.000909596067122005,0.00517506257018472,41.7,42.4,64.8,65.8
0.0465444191188046,4565,39.55,67.8,0.000909596067122005,0.00627095309082182,39.2,39.9,67.3,68.3
0.0465444191188046,4570,37.15,70.4,0.000909596067122005,0.00736564395000339,36.8,37.5,69.9,70.9
0.0465444191188046,4575,34.85,73.45,0.000909596067122005,0.00845913777137472,34.5,35.2,72,74.9
0.0465444191188046,4580,32.65,76.3,0.000909596067122005,0.00955143716998348,32.3,33,74.8,77.8
0.0465444191188046,4585,30.5,79.1,0.000909596067122005,0.0106425447523181,30.2,30.8,77.6,80.6
0.0465444191188046,4590,28.4,82.15,0.000909596067122005,0.0117324631163437,28.1,28.7,80.6,83.7
0.0465444191188046,4595,26.5,85.15,0.000909596067122005,0.0128211948515403,26.2,26.8,83.6,86.7
0.0465444191188046,4600,24.6,88.3,0.000909596067122005,0.0139087425389393,24.3,24.9,86.7,89.9
0.0465444191188046,4605,22.8,91.5,0.000909596067122005,0.0149951087511602,22.5,23.1,89.9,93.1
0.0465444191188046,4610,21.1,94.75,0.000909596067122005,0.0160802960524472,20.8,21.4,93.1,96.4
0.0465444191188046,4615,19.5,98.1,0.000909596067122005,0.0171643069987056,19.2,19.8,96.5,99.7
0.0465444191188046,4620,18,101.65,0.000909596067122005,0.0182471441375374,17.7,18.3,100,103.3
