TimeToExpiration,Strike,logStrike,sigma_ask,sigma_bid,open_interest_ask,open_interest_bid,open_interest_weight,sigma_target
0.0465444191188046,4100,-0.101160587245848,0.26105058670044,0.256886215209961,894,894,0.00022899839457781,0.258968400955201
0.0465444191188046,4150,-0.089039226713503,0.242141456604004,0.238633346557618,195,195,4.99493142535491e-05,0.240387401580811
0.0465444191188046,4175,-0.0830332026532913,0.233059177398682,0.229867115020752,180,180,4.61070593109684e-05,0.231463146209717
0.0465444191188046,4200,-0.0770630356667874,0.225278940200806,0.222425966262818,683,683,0.000174950675052175,0.223852453231812
0.0465444191188046,4210,-0.0746849132618199,0.221552104949952,0.218806419372559,66,66,1.69059217473551e-05,0.220179262161255
0.0465444191188046,4220,-0.0723124329081896,0.218581476211548,0.21596251487732,31,31,7.94066021466678e-06,0.217271995544434
0.0465444191188046,4225,-0.0711283001469728,0.216608600616456,0.214037160873413,37,37,9.47756219169907e-06,0.215322880744934
0.0465444191188046,4230,-0.0699455678979234,0.21543683052063,0.212934350967408,97,97,2.48465819620219e-05,0.214185590744019
0.0465444191188046,4250,-0.0652285780197845,0.209412908554078,0.206364688873291,146,146,3.73979481077855e-05,0.207888798713684
0.0465444191188046,4260,-0.062878400674831,0.206482572555542,0.203578453063965,7,7,1.79305230653766e-06,0.205030512809753
0.0465444191188046,4270,-0.0605337337155768,0.203348369598389,0.200576076507569,62,62,1.58813204293336e-05,0.201962223052979
0.0465444191188046,4275,-0.0593634585673864,0.2017080783844,0.198997669219971,145,145,3.71417977782801e-05,0.200352873802185
0.0465444191188046,4280,-0.0581945513624046,0.200020513534546,0.1980384349823,19,19,4.86685626060222e-06,0.199029474258423
0.0465444191188046,4285,-0.0570270089063669,0.198925695419312,0.19634711265564,31,31,7.94066021466678e-06,0.197636404037476
0.0465444191188046,4290,-0.0558608280161844,0.197755603790284,0.195245304107666,40,40,1.02460131802152e-05,0.196500453948975
0.0465444191188046,4300,-0.0535325382565933,0.194608774185181,0.192212190628052,252,252,6.45498830353558e-05,0.193410482406617
0.0465444191188046,4310,-0.0512096568404536,0.191810197830201,0.189528741836548,13,13,3.32995428356994e-06,0.190669469833375
0.0465444191188046,4315,-0.0500502364207187,0.19086410522461,0.188645906448365,5,5,1.2807516475269e-06,0.189755005836488
0.0465444191188046,4320,-0.0488921587000911,0.189291820526123,0.18712405204773,66,66,1.69059217473551e-05,0.188207936286927
0.0465444191188046,4325,-0.0477354205722674,0.188183345794678,0.186072216033936,82,82,2.10043270194412e-05,0.187127780914307
0.0465444191188046,4330,-0.0465800189417115,0.18699091911316,0.184413938522339,223,223,5.71215234796998e-05,0.18570242881775
0.0465444191188046,4335,-0.0454259507236048,0.185717372894287,0.183710231781006,19,19,4.86685626060222e-06,0.184713802337647
0.0465444191188046,4340,-0.0442732128437966,0.184365196228028,0.182405977249146,70,70,1.79305230653766e-05,0.183385586738587
0.0465444191188046,4345,-0.0431218022387547,0.183411302566529,0.181022920608521,32,32,8.19681054417216e-06,0.182217111587525
0.0465444191188046,4350,-0.0419717158555173,0.181897697448731,0.180032920837403,275,275,7.04413406139795e-05,0.180965309143067
0.0465444191188046,4355,-0.0408229506516439,0.180764589309693,0.178945865631104,10,10,2.5615032950538e-06,0.179855227470399
0.0465444191188046,4365,-0.0385293716645445,0.178658657073975,0.176493654251099,24,24,6.14760790812912e-06,0.177576155662537
0.0465444191188046,4370,-0.0373845518486112,0.177250471115113,0.175134000778199,66,66,1.69059217473551e-05,0.176192235946656
0.0465444191188046,4375,-0.0362410411465322,0.176170129776001,0.174104299545288,62,62,1.58813204293336e-05,0.175137214660644
0.0465444191188046,4380,-0.0350988365677552,0.174989995956421,0.172971868515015,358,358,9.17018179629261e-05,0.173980932235718
0.0465444191188046,4385,-0.0339579351319637,0.174105291366577,0.17173978805542,17,17,4.35455560159146e-06,0.172922539710998
0.0465444191188046,4390,-0.03281833386903,0.172725267410279,0.170798196792603,82,82,2.10043270194412e-05,0.171761732101441
0.0465444191188046,4395,-0.0316800298189697,0.171628684997559,0.169744853973389,16,16,4.09840527208608e-06,0.170686769485474
0.0465444191188046,4400,-0.0305430200318945,0.170426187515259,0.16858304977417,216,216,5.53284711731621e-05,0.169504618644714
0.0465444191188046,4405,-0.0294073015679672,0.169479770660401,0.167677574157715,25,25,6.4037582376345e-06,0.168578672409058
0.0465444191188046,4410,-0.0282728714973554,0.168417444229126,0.166653633117676,19,19,4.86685626060222e-06,0.167535538673401
